GRAPHiC,,,,,
index,lan,cat,precision,recall,f1
0,java,summary,0.901235,0.900224,0.900729
1,java,Ownership,1,1,1
2,java,Expand,0.458333,0.431373,0.444444
3,java,usage,0.935897,0.846868,0.88916
4,java,Pointer,0.774892,0.972826,0.862651
5,java,deprecation,0.846154,0.733333,0.785714
6,java,rational,0.313253,0.382353,0.344371
7,python,Usage,0.841121,0.743802,0.789474
8,python,Parameters,0.846774,0.820312,0.833333
9,python,DevelopmentNotes,0.340909,0.365854,0.352941
10,python,Expand,0.625,0.703125,0.661765
11,python,Summary,0.771739,0.865854,0.816092
12,pharo,Keyimplementationpoints,0.702703,0.604651,0.65
13,pharo,Example,0.947826,0.915966,0.931624
14,pharo,Responsibilities,0.611111,0.634615,0.622642
15,pharo,Classreferences,0.5,0.75,0.6
16,pharo,Intent,0.787879,0.866667,0.825397
17,pharo,Keymessages,0.708333,0.790698,0.747253
18,pharo,Collaborators,0.571429,0.4,0.470588
,,,0.7097151579,0.7225537368,0.7120093684